☆【外部用】日常生活におけるデジタル技術に対する意識や感情調査
Timestamp,あなたの性別を教えてください。,あなたの年代を教えてください。,"運転の自動化
　補足： あなたが免許を持ち、自動車を日常的に利用していると仮定してください。その際、自動運転車がすべての運転操作を行う状況を想定してください。 ","決済のデジタル化
　補足: コンビニやスーパー、レストランで、現金ではなくクレジットカードやスマートフォンによる決済が一般的になっている場面を想定してください。  ","家事の自動化
　補足: 自宅での掃除や料理、洗濯などの家事を、ロボットやAIが完全に自動で行う状況を想定してください。  ","医療診断のデジタル化
　補足: 病院で医師ではなくAIが診察を行い、診断結果を提示して治療法を提案する場面を想定してください。 ","教育のデジタル化  
　補足: 学校の授業がAIによって進行される、もしくはオンラインでのみ授業が行われる教育環境を想定してください。  ","物流の自動化
　補足: ネットショッピングで注文した商品が、人間ではなくドローンや自動運転車によって自宅まで配送される場面を想定してください。 ","農業のデジタル化
　補足: AIやセンサー技術を活用した農業機械が、種まきや収穫の作業をサポートする場面を想定してください。  ","人事管理のデジタル化
　補足：あなたが働いている職場で、AIが仕事の評価や昇進の決定を行う場面を想定してください。  ","法律業務のデジタル化
　補足: あなたが社会人として働いている際、弁護士に依頼せず、AIが契約書の作成や法的助言を提供する場面を想定してください。  ","芸術のデジタル化
　補足: 展覧会やコンサートで発表される作品が、すべてAIによって制作されたものだとする場面を想定してください。  "
2025/01/18 9:30:19 PM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 9:30:50 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:31:00 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:33:03 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:34:04 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:35:36 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,否定（No）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:42:51 PM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 9:44:15 PM GMT+9,女性,10代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:44:42 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:45:02 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:45:15 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 9:46:32 PM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:46:36 PM GMT+9,女性,20代,否定的（No）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:48:18 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:48:44 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,否定（No）,否定（No）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:51:38 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:52:40 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:57:38 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 9:59:43 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:02:27 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:04:45 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:07:48 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:08:11 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:10:40 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 10:11:43 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,肯定的（Yes）
2025/01/18 10:15:41 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 10:15:42 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:18:44 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:20:26 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:24:08 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:24:52 PM GMT+9,回答したくない,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:28:12 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 10:29:26 PM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:30:16 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:30:47 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:33:14 PM GMT+9,女性,20代,肯定的（Yes）,否定的（No）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 10:33:49 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 10:35:51 PM GMT+9,女性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 10:36:19 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 10:48:26 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）
2025/01/18 10:53:22 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 10:58:36 PM GMT+9,男性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 10:59:19 PM GMT+9,女性,20代,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:01:33 PM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:08:30 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,否定（No）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:14:12 PM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 11:19:48 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 11:25:34 PM GMT+9,女性,10代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:26:00 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 11:27:38 PM GMT+9,女性,20代,肯定的（Yes）,否定的（No）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 11:27:50 PM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:27:57 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:28:31 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:30:22 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:30:32 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:33:22 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 11:37:14 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:44:09 PM GMT+9,男性,10代,否定的（No）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:47:54 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 11:49:05 PM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 11:55:38 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 11:58:11 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 11:59:34 PM GMT+9,男性,20代,肯定的（Yes）,否定的（No）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,否定（No）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:02:00 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:05:05 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,否定（No）,否定（No）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:05:18 AM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:21:38 AM GMT+9,女性,20代,否定的（No）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/19 12:26:18 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/19 12:40:29 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:57:39 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 12:59:49 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/19 1:12:33 AM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 1:21:43 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/19 1:28:45 AM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 1:53:22 AM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 2:20:28 AM GMT+9,男性,20代,否定的（No）,否定的（No）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/19 3:02:56 AM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 6:13:54 AM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 6:19:40 AM GMT+9,男性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/19 7:05:14 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 7:36:15 AM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 8:33:21 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 9:18:50 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,否定（No）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 9:37:35 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 9:37:51 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 9:39:32 AM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/19 9:40:12 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/19 9:43:11 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/19 9:43:44 AM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/19 9:52:16 AM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/19 9:58:45 AM GMT+9,女性,10代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/19 10:07:07 AM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
